SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2011,1,9,17,30,N/A,83.8,6.74,-1.47,98050,N/A
2011,1,9,18,30,N/A,85.4,8.05,-1.96,98050,N/A
2011,1,9,19,30,N/A,88.5,7.63,-2.5500000000000003,98120,N/A
2011,1,9,20,30,N/A,88.29,9.02,-3.19,98120,N/A
2011,1,9,21,30,N/A,91.91,8.92,-3.67,98120,N/A
2011,1,9,22,30,N/A,92.86,8.22,-4.04,98140,N/A
2011,1,9,23,30,N/A,96.44,7.44,-4.39,98160,N/A
2011,1,10,0,30,N/A,97.05,7.82,-4.71,98160,N/A
2011,1,10,1,30,N/A,97.5,7.45,-4.95,98190,N/A
2011,1,10,2,30,N/A,96.58,6.7,-5.15,98210,N/A
2011,1,10,3,30,N/A,95.74000000000001,5.57,-5.28,98250,N/A
2011,1,10,4,30,N/A,94.12,5.23,-5.3100000000000005,98280,N/A
2011,1,10,5,30,N/A,91.22,4.83,-5.37,98320,N/A
2011,1,10,6,30,N/A,89.03,3.72,-5.2700000000000005,98360,N/A
2011,1,10,7,30,N/A,84.35000000000001,3.7800000000000002,-5.25,98420,N/A
2011,1,10,8,30,N/A,78.74,3.19,-5.0600000000000005,98460,N/A
2011,1,10,9,30,N/A,70.9,2.58,-4.69,98500,N/A
2011,1,10,10,30,N/A,68.77,2.29,-4.1,98520,N/A
2011,1,10,11,30,N/A,75.06,2.14,-3.39,98520,N/A
2011,1,10,12,30,N/A,49.68,2.0300000000000002,-3.0100000000000002,98540,N/A
2011,1,10,13,30,N/A,19.03,3.04,-2.88,98580,N/A
2011,1,10,14,30,N/A,9.67,3.58,-2.85,98630,N/A
2011,1,10,15,30,N/A,6.43,2.97,-2.95,98670,N/A
2011,1,10,16,30,N/A,358.19,4.25,-2.94,98740,N/A
2011,1,10,17,30,N/A,353.34000000000003,5.3,-3.15,98830,N/A
2011,1,10,18,30,N/A,351.01,5.78,-3.2,98920,N/A
2011,1,10,19,30,N/A,344.79,6.890000000000001,-3.13,98990,N/A
2011,1,10,20,30,N/A,336.67,7.08,-3.0700000000000003,99050,N/A
2011,1,10,21,30,N/A,330.89,6.28,-3.0100000000000002,99130,N/A
2011,1,10,22,30,N/A,327.78000000000003,7.25,-3.09,99190,N/A
2011,1,10,23,30,N/A,328.39,9.15,-2.54,99260,N/A
2011,1,11,0,30,N/A,323.84000000000003,8.97,-2.71,99360,N/A
2011,1,11,1,30,N/A,335.35,9.4,-2.95,99460,N/A
2011,1,11,2,30,N/A,339.19,10.43,-3.91,99540,N/A
2011,1,11,3,30,N/A,334.90000000000003,9.65,-4.67,99620,N/A
2011,1,11,4,30,N/A,339.59000000000003,9.540000000000001,-5.44,99740,N/A
2011,1,11,5,30,N/A,331.48,8.47,-6.0600000000000005,99830,N/A
2011,1,11,6,30,N/A,333.62,8.5,-6.54,99940,N/A
2011,1,11,7,30,N/A,324,7.18,-6.9,99980,N/A
2011,1,11,8,30,N/A,333.23,7.41,-7.13,100090,N/A
2011,1,11,9,30,N/A,336.36,7.68,-6.91,100110,N/A
2011,1,11,10,30,N/A,334.15000000000003,6.8100000000000005,-6.33,100150,N/A
2011,1,11,11,30,N/A,332.07,6.83,-5.47,100160,N/A
2011,1,11,12,30,N/A,331.22,5.79,-4.61,100160,N/A
2011,1,11,13,30,N/A,332.69,5.12,-3.8200000000000003,100170,N/A
2011,1,11,14,30,N/A,331.75,5.12,-3.09,100160,N/A
2011,1,11,15,30,N/A,330.95,4.68,-2.65,100150,N/A
2011,1,11,16,30,N/A,331.64,4.23,-2.49,100150,N/A
2011,1,11,17,30,N/A,326.92,4.14,-2.39,100160,N/A
2011,1,11,18,30,N/A,324.89,4.3500000000000005,-2.24,100180,N/A
